Bulbasaur,Gen1/poke_icon_0001_000_mf_n_00000000_f_n.png
Ivysaur,Gen1/poke_icon_0002_000_mf_n_00000000_f_n.png
Venusaur ♀,Gen1/poke_icon_0003_000_fd_n_00000000_f_n.png
Venusaur ♂,Gen1/poke_icon_0003_000_md_n_00000000_f_n.png
Charmander,Gen1/poke_icon_0004_000_mf_n_00000000_f_n.png
Charmeleon,Gen1/poke_icon_0005_000_mf_n_00000000_f_n.png
Charizard,Gen1/poke_icon_0006_000_mf_n_00000000_f_n.png
Squirtle,Gen1/poke_icon_0007_000_mf_n_00000000_f_n.png
Wartortle,Gen1/poke_icon_0008_000_mf_n_00000000_f_n.png
Blastoise,Gen1/poke_icon_0009_000_mf_n_00000000_f_n.png
Caterpie,Gen1/poke_icon_0010_000_mf_n_00000000_f_n.png
Metapod,Gen1/poke_icon_0011_000_mf_n_00000000_f_n.png
Butterfree ♀,Gen1/poke_icon_0012_000_fd_n_00000000_f_n.png
Butterfree ♂,Gen1/poke_icon_0012_000_md_n_00000000_f_n.png
Weedle,Gen1/poke_icon_0013_000_mf_n_00000000_f_n.png
Kakuna,Gen1/poke_icon_0014_000_mf_n_00000000_f_n.png
Beedrill,Gen1/poke_icon_0015_000_mf_n_00000000_f_n.png
Pidgey,Gen1/poke_icon_0016_000_mf_n_00000000_f_n.png
Pidgeotto,Gen1/poke_icon_0017_000_mf_n_00000000_f_n.png
Pidgeot,Gen1/poke_icon_0018_000_mf_n_00000000_f_n.png
Rattata ♀,Gen1/poke_icon_0019_000_fd_n_00000000_f_n.png
Rattata ♂,Gen1/poke_icon_0019_000_md_n_00000000_f_n.png
Alolan Rattata,Gen1/poke_icon_0019_001_mf_n_00000000_f_n.png
Raticate ♀,Gen1/poke_icon_0020_000_fd_n_00000000_f_n.png
Raticate ♂,Gen1/poke_icon_0020_000_md_n_00000000_f_n.png
Alolan Raticate,Gen1/poke_icon_0020_001_mf_n_00000000_f_n.png
Spearow,Gen1/poke_icon_0021_000_mf_n_00000000_f_n.png
Fearow,Gen1/poke_icon_0022_000_mf_n_00000000_f_n.png
Ekans,Gen1/poke_icon_0023_000_mf_n_00000000_f_n.png
Arbok,Gen1/poke_icon_0024_000_mf_n_00000000_f_n.png
Pikachu ♀,Gen1/poke_icon_0025_000_fd_n_00000000_f_n.png
Pikachu ♂,Gen1/poke_icon_0025_000_md_n_00000000_f_n.png
Pikachu Original Cap,Gen1/poke_icon_0025_001_mo_n_00000000_f_n.png
Pikachu Hoenn Cap,Gen1/poke_icon_0025_002_mo_n_00000000_f_n.png
Pikachu Sinnoh Cap,Gen1/poke_icon_0025_003_mo_n_00000000_f_n.png
Pikachu Unova Cap,Gen1/poke_icon_0025_004_mo_n_00000000_f_n.png
Pikachu Kalos Cap,Gen1/poke_icon_0025_005_mo_n_00000000_f_n.png
